Churn,Contract,Customer ID,Dependents,Device Protection,Dimension,Gender,Info 1,Info 2,Info 3,Internet Service,Message,Monthly Charges (bin),Monthly Charges (bin) 2,Multiple Lines,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Senior Citizen,Streaming Movies,Streaming TV,Tech Support,Tenure,Total Charges (bin),# Customers,Churn Rate count yes,"Churn Rate, %",Monthly Charges,Monthly Charges ,Total Charges,Total per Tenure
No,Month-to-month,3951-NJCVI,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,92.4,Yes,No,No,Yes,Yes,Electronic check,Yes,1,Yes,Yes,No,42,3944,1,0,0.00%,95.05,95.05,3944.5,93.91666667
No,Two year,2977-CEBSX,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,88,89.6,Yes,Yes,Yes,Yes,No,Credit card (automatic),Yes,0,Yes,Yes,Yes,66,5965,1,0,0.00%,90.05,90.05,5965.95,90.39318182
No,Month-to-month,0177-PXBAT,No,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,108,109.2,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,Yes,Yes,33,3694,1,0,0.00%,109.9,109.9,3694.7,111.9606061
Yes,Month-to-month,6599-CEBNN,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,72,72.8,No,Yes,No,Yes,No,Credit card (automatic),Yes,0,No,No,No,34,2524,1,1,100.00%,73.95,73.95,2524.45,74.24852941
No,Month-to-month,2519-ERQOJ,No,Yes,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,52,53.2,No phone service,No,No,Yes,No,Electronic check,No,1,Yes,Yes,Yes,33,1803,1,0,0.00%,54.6,54.6,1803.7,54.65757576
No,One year,5876-QMYLD,Yes,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,23,415,1,0,0.00%,20.05,20.05,415.1,18.04782609
No,One year,2277-AXSDC,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,19.6,No,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,32,624,1,0,0.00%,19.75,19.75,624.15,19.5046875
No,One year,9442-JTWDL,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,11,237,1,0,0.00%,20.05,20.05,237.7,21.60909091
Yes,Month-to-month,0979-PHULV,Yes,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,98,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,69,7007,1,1,100.00%,99.45,99.45,7007.6,101.5594203
No,One year,3067-SVMTC,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,52,53.2,No,No,Yes,No,Yes,Bank transfer (automatic),Yes,0,No,No,Yes,68,3848,1,0,0.00%,55.9,55.9,3848.8,56.6
No,Two year,5495-GPSRW,No,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,19.6,No,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,20,419,1,0,0.00%,19.7,19.7,419.4,20.97
No,Two year,7606-BPHHN,No,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,19.6,No,No internet service,No internet service,Yes,No,Credit card (automatic),Yes,0,No internet service,No internet service,No internet service,72,1468,1,0,0.00%,19.8,19.8,1468.75,20.39930556
No,One year,4742-DRORA,Yes,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,95.2,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,No,Yes,No,60,5812,1,0,0.00%,95.4,95.4,5812,96.86666667
No,Month-to-month,0111-KLBQG,Yes,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,92.4,No,Yes,No,Yes,Yes,Mailed check,Yes,1,Yes,Yes,No,32,2861,1,0,0.00%,93.95,93.95,2861.45,89.4203125
Yes,Month-to-month,4800-VHZKI,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,19.6,No,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,19,1,1,100.00%,19.9,19.9,19.9,19.9
Yes,Month-to-month,7989-CHGTL,No,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,19.6,No,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,1,19,1,1,100.00%,19.6,19.6,19.6,19.6
Yes,Month-to-month,0334-GDDSO,No,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,80,81.2,Yes,Yes,No,Yes,No,Electronic check,Yes,1,No,No,No,3,233,1,1,100.00%,81.35,81.35,233.7,77.9
No,One year,4163-NCJAK,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,24,22.4,Yes,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,46,1066,1,0,0.00%,24.45,24.45,1066.15,23.17717391
No,Month-to-month,5233-AOZUF,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,72,72.8,Yes,No,No,Yes,Yes,Electronic check,Yes,0,No,No,No,29,2149,1,0,0.00%,74.95,74.95,2149.05,74.10517241
No,Month-to-month,5973-EJGDP,No,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,84,86.8,Yes,Yes,No,Yes,No,Electronic check,Yes,0,No,No,Yes,51,4473,1,0,0.00%,87.35,87.35,4473,87.70588235
No,Month-to-month,1996-DBMUS,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,68,70,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,1,No,No,No,48,3545,1,0,0.00%,70.65,70.65,3545.05,73.85520833
No,Month-to-month,7916-VCCPB,Yes,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,72,72.8,No,Yes,No,No,Yes,Bank transfer (automatic),Yes,0,No,No,No,16,1195,1,0,0.00%,73.25,73.25,1195.75,74.734375
No,Two year,4686-GEFRM,No,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,98,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,No,Yes,70,6858,1,0,0.00%,98.7,98.7,6858.9,97.98428571
No,Two year,5249-QYHEX,Yes,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,24,22.4,Yes,No internet service,No internet service,Yes,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,40,1024,1,0,0.00%,24.8,24.8,1024.7,25.6175
Yes,Month-to-month,0578-SKVMF,Yes,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,80,81.2,No,Yes,No,No,Yes,Electronic check,Yes,0,Yes,No,No,22,1845,1,1,100.00%,83.3,83.3,1845.9,83.90454546
Yes,Month-to-month,5564-NEMQO,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,72,72.8,No,No,No,Yes,No,Bank transfer (automatic),Yes,1,No,No,No,1,75,1,1,100.00%,75.3,75.3,75.3,75.3
No,Month-to-month,2233-FAGXV,Yes,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,24,22.4,Yes,No internet service,No internet service,Yes,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,5,132,1,0,0.00%,24.3,24.3,132.25,26.45
No,Month-to-month,5605-IYGFG,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,68,67.2,No,No,No,Yes,No,Bank transfer (automatic),Yes,0,No,No,No,7,515,1,0,0.00%,69.85,69.85,515.45,73.63571429
No,One year,7663-ZTEGJ,Yes,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,98,Yes,Yes,No,No,No,Credit card (automatic),Yes,0,Yes,No,Yes,29,2830,1,0,0.00%,100.55,100.55,2830.45,97.60172414
No,One year,3935-TBRZZ,Yes,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,24,25.2,Yes,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,44,1110,1,0,0.00%,25.7,25.7,1110.5,25.23863636
No,Month-to-month,8111-BKVDS,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,40,39.2,No phone service,Yes,Yes,No,No,Bank transfer (automatic),No,0,No,No,No,10,449,1,0,0.00%,40.7,40.7,449.3,44.93
No,Month-to-month,2055-SIFSS,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,48,50.4,Yes,No,No,No,Yes,Bank transfer (automatic),Yes,1,No,No,No,55,2838,1,0,0.00%,51.65,51.65,2838.55,51.61
No,One year,2806-MLNTI,No,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,Yes,No,52,5376,1,0,0.00%,105.1,105.1,5376.4,103.3923077
No,Month-to-month,8734-DKSTZ,Yes,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,84,84,Yes,No,No,No,Yes,Electronic check,Yes,0,Yes,No,No,10,858,1,0,0.00%,85.95,85.95,858.6,85.86
No,Month-to-month,4360-PNRQB,No,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,72,75.6,Yes,No,No,Yes,No,Bank transfer (automatic),Yes,0,No,No,No,18,1395,1,0,0.00%,75.6,75.6,1395.05,77.50277778
No,One year,6152-ONASV,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,56,56,Yes,No,Yes,No,Yes,Bank transfer (automatic),Yes,0,No,No,Yes,68,3975,1,0,0.00%,58.25,58.25,3975.7,58.46617647
Yes,Month-to-month,9063-ZGTUY,Yes,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,16.8,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,61,1182,1,1,100.00%,19.4,19.4,1182.55,19.38606557
No,Two year,7781-HVGMK,Yes,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,64,64.4,No phone service,Yes,Yes,Yes,Yes,Credit card (automatic),No,0,Yes,Yes,Yes,72,4784,1,0,0.00%,65.2,65.2,4784.45,66.45069444
No,Month-to-month,2181-UAESM,No,Yes,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,52,53.2,No,No,Yes,No,No,Electronic check,Yes,0,No,No,No,2,119,1,0,0.00%,53.45,53.45,119.5,59.75
Yes,Month-to-month,2957-LOLHO,No,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,44,44.8,No,No,No,Yes,No,Bank transfer (automatic),Yes,0,No,No,No,12,518,1,1,100.00%,45.4,45.4,518.9,43.24166667
No,Two year,6048-NJXHX,No,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,19.6,No,No internet service,No internet service,Yes,Yes,Electronic check,Yes,0,No internet service,No internet service,No internet service,41,899,1,0,0.00%,19.75,19.75,899.45,21.93780488
No,Month-to-month,2320-SLKMB,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,44,42,No phone service,No,No,Yes,No,Credit card (automatic),No,0,No,Yes,Yes,26,1183,1,0,0.00%,44.45,44.45,1183.8,45.53076923
No,One year,4980-URKXC,No,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,36,720,1,0,0.00%,20.85,20.85,720.05,20.00138889
No,Two year,4376-KFVRS,Yes,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,112,112,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,0,Yes,Yes,Yes,72,8468,1,0,0.00%,114.05,114.05,8468.2,117.6138889
No,Month-to-month,5886-VLQVU,No,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,88,89.6,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,No,Yes,35,3161,1,0,0.00%,89.85,89.85,3161.2,90.32
No,Month-to-month,3577-AMVUX,No,Yes,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,52,53.2,No,No,No,No,No,Mailed check,Yes,0,No,No,Yes,1,55,1,0,0.00%,55.05,55.05,55.05,55.05
No,Month-to-month,0771-WLCLA,Yes,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,112,112,Yes,No,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,16,1882,1,0,0.00%,112.95,112.95,1882.55,117.659375
No,Month-to-month,5628-RKIFK,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,100.8,Yes,No,Yes,No,No,Credit card (automatic),Yes,1,Yes,Yes,No,49,5070,1,0,0.00%,101.55,101.55,5070.4,103.477551
No,One year,0206-TBWLC,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,112,112,Yes,Yes,Yes,Yes,Yes,Mailed check,Yes,0,Yes,Yes,Yes,54,6049,1,0,0.00%,114.65,114.65,6049.5,112.0277778
No,Month-to-month,2937-FTHUR,Yes,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,64,64.4,Yes,No,Yes,No,No,Electronic check,Yes,0,Yes,No,No,18,1166,1,0,0.00%,64.8,64.8,1166.7,64.81666667
No,Month-to-month,1910-FMXJM,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,80,78.4,No,No,No,No,Yes,Electronic check,Yes,0,Yes,No,No,36,2937,1,0,0.00%,80.4,80.4,2937.65,81.60138889
Yes,Month-to-month,7752-XUSCI,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,Yes,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,60,6396,1,1,100.00%,105.9,105.9,6396.45,106.6075
Yes,Month-to-month,4110-PFEUZ,No,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,68,67.2,No,No,No,No,No,Mailed check,Yes,0,No,No,No,1,69,1,1,100.00%,69.55,69.55,69.55,69.55
No,Two year,0732-OCQOC,Yes,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,24,22.4,Yes,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,No internet service,No internet service,52,1270,1,0,0.00%,25.05,25.05,1270.25,24.42788462
No,Month-to-month,5168-MSWXT,Yes,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,92.4,No,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,8,759,1,0,0.00%,94.75,94.75,759.55,94.94375
No,Two year,1090-ESELR,Yes,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,No,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,72,7611,1,0,0.00%,105.5,105.5,7611.55,105.7159722
No,One year,8592-PLTMQ,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,24,22.4,Yes,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,64,1642,1,0,0.00%,24.7,24.7,1642.75,25.66796875
No,Month-to-month,5760-WRAHC,No,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,68,67.2,No,No,Yes,Yes,No,Mailed check,Yes,1,Yes,No,Yes,22,1545,1,0,0.00%,69.75,69.75,1545.4,70.24545455
No,Month-to-month,8847-GEOOQ,No,Yes,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,60,58.8,No phone service,Yes,No,Yes,Yes,Bank transfer (automatic),No,0,Yes,Yes,Yes,60,3582,1,0,0.00%,60.2,60.2,3582.4,59.70666667
Yes,Month-to-month,0256-LTHVJ,Yes,No,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,80,78.4,No,No,No,Yes,Yes,Electronic check,Yes,0,Yes,No,No,28,2227,1,1,100.00%,81.05,81.05,2227.1,79.53928571
No,Two year,4785-FCIFB,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,24,22.4,Yes,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,61,1417,1,0,0.00%,24.4,24.4,1417.9,23.2442623
No,Month-to-month,8313-NDOIA,No,Yes,Fiber optic,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,104,103.6,Yes,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,24,2494,1,0,0.00%,104.15,104.15,2494.65,103.94375
No,One year,5149-CUZUJ,Yes,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,92,92.4,No,Yes,No,No,Yes,Bank transfer (automatic),Yes,0,No,Yes,Yes,28,2768,1,0,0.00%,92.9,92.9,2768.35,98.86964286
No,Two year,0942-KOWSM,Yes,Yes,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,80,78.4,No,Yes,No,No,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,30,2369,1,0,0.00%,80.8,80.8,2369.3,78.97666667
No,Month-to-month,4237-CLSMM,No,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,No,Yes,Mailed check,Yes,0,No internet service,No internet service,No internet service,2,38,1,0,0.00%,20,20,38,19
No,Month-to-month,1452-VOQCH,No,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,72,72.8,Yes,No,No,Yes,No,Electronic check,Yes,0,No,No,No,1,75,1,0,0.00%,75.1,75.1,75.1,75.1
No,Month-to-month,4719-UMSIY,Yes,No internet service,No,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,19.6,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,6,100,1,0,0.00%,19.65,19.65,100.9,16.81666667
No,Month-to-month,6614-VBEGU,No,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,68,67.2,No,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,24,1614,1,0,0.00%,69.45,69.45,1614.05,67.25208333
Yes,Month-to-month,0880-TKATG,Yes,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,100.8,Yes,No,No,No,Yes,Electronic check,Yes,0,Yes,Yes,No,4,385,1,1,100.00%,101.15,101.15,385.9,96.475
Yes,Month-to-month,3811-VBYBZ,No,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,96,98,Yes,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No,7,673,1,1,100.00%,99.8,99.8,673.25,96.17857143
No,Two year,1480-BKXGA,No,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,116,114.8,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,Yes,Yes,72,8404,1,0,0.00%,116.05,116.05,8404.9,116.7347222
No,Two year,2996-XAUVF,No,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,40,39.2,No phone service,No,No,Yes,No,Mailed check,No,0,Yes,No,Yes,70,2799,1,0,0.00%,40.05,40.05,2799.75,39.99642857
No,Two year,9076-AXYIK,No,Yes,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,100,100.8,Yes,No,No,No,Yes,Electronic check,Yes,1,Yes,Yes,Yes,64,6538,1,0,0.00%,102.1,102.1,6538.45,102.1632813
No,One year,5968-XQIVE,Yes,No,Fiber optic,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",Fiber optic,note,88,89.6,Yes,Yes,No,Yes,Yes,Electronic check,Yes,0,No,Yes,No,72,6588,1,0,0.00%,89.7,89.7,6588.95,91.51319444
No,Two year,8896-RAZCR,Yes,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,16,19.6,No,No internet service,No internet service,No,No,Mailed check,Yes,0,No internet service,No internet service,No internet service,44,868,1,0,0.00%,19.9,19.9,868.1,19.72954546
Yes,Month-to-month,4640-UHDOS,Yes,No,DSL,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,52,53.2,No,No,No,No,Yes,Electronic check,Yes,0,Yes,No,No,13,734,1,1,100.00%,55.95,55.95,734.35,56.48846154
No,One year,4933-IKULF,No,No internet service,No,Female,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",No,note,20,19.6,No,No internet service,No internet service,No,No,Mailed check,Yes,1,No internet service,No internet service,No internet service,17,330,1,0,0.00%,20.65,20.65,330.6,19.44705882
Yes,Month-to-month,3583-EKAPL,No,No,DSL,Male,"Info:
As you can see Fiber Optic on Month to Month
users are more likely to churn","Info:
Click on bars to filter data","Info:
Click on bars to filter data",DSL,note,52,53.2,No,No,No,Yes,No,Electronic check,Yes,0,Yes,No,No,1,55,1,1,100.00%,55,55,55,55
